         426046 function calls (416002 primitive calls) in 33.457 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7874    0.011    0.000    0.013    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:739(_extendLine)
      991    0.002    0.000    0.013    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
     6436    0.012    0.000    0.012    0.000 {method 'dot' of 'numpy.ndarray' objects}
     7826    0.007    0.000    0.012    0.000 {built-in method builtins.max}
    11560    0.012    0.000    0.012    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
92889/92882    0.012    0.000    0.012    0.000 {built-in method builtins.len}
      424    0.008    0.000    0.010    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\BlobDetector.py:4(get_ball_detector)
        1    0.000    0.000    0.010    0.010 C:\Program Files\Python311\Lib\subprocess.py:807(__init__)
        1    0.000    0.000    0.009    0.009 C:\Program Files\Python311\Lib\subprocess.py:1436(_execute_child)
        1    0.009    0.009    0.009    0.009 {built-in method _winapi.CreateProcess}
      6/1    0.000    0.000    0.009    0.009 <frozen importlib._bootstrap>:1165(_find_and_load)
      6/1    0.000    0.000    0.009    0.009 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      203    0.003    0.000    0.009    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:115(should_switch_target)
        1    0.000    0.000    0.008    0.008 C:\Program Files\Python311\Lib\subprocess.py:1165(communicate)
      5/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap>:666(_load_unlocked)
      3/1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.008    0.008    0.008    0.008 {method 'read' of '_io.TextIOWrapper' objects}
     2038    0.008    0.000    0.008    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:403(_get_formatdict)
     2044    0.008    0.000    0.008    0.000 {built-in method builtins.locals}
     11/2    0.000    0.000    0.007    0.004 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      3/1    0.000    0.000    0.007    0.007 {built-in method builtins.exec}
        1    0.000    0.000    0.007    0.007 C:\Program Files\Python311\Lib\subprocess.py:1(<module>)
     5070    0.006    0.000    0.006    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\fromnumeric.py:72(<dictcomp>)
       78    0.006    0.000    0.006    0.000 {method 'sendall' of '_socket.socket' objects}
      609    0.002    0.000    0.006    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\shape_base.py:215(_vhstack_dispatcher)
      212    0.002    0.000    0.006    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:174(<listcomp>)
     4060    0.006    0.000    0.006    0.000 {method 'astype' of 'numpy.generic' objects}
      991    0.002    0.000    0.006    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\_ufunc_config.py:435(__exit__)
      406    0.004    0.000    0.005    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\shape_base.py:23(atleast_1d)
     1982    0.005    0.000    0.005    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\_ufunc_config.py:132(geterr)
     1250    0.005    0.000    0.005    0.000 {approxPolyDP}
     2038    0.005    0.000    0.005    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:72(<dictcomp>)
    19987    0.004    0.000    0.004    0.000 {built-in method builtins.issubclass}
      609    0.003    0.000    0.004    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
     6436    0.003    0.000    0.004    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\linalg\linalg.py:140(isComplexType)
        8    0.000    0.000    0.004    0.001 <frozen os>:200(makedirs)
      212    0.003    0.000    0.004    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\BlobDetector.py:21(get_robot_circle_detector)
      212    0.004    0.000    0.004    0.000 {getStructuringElement}
     6436    0.004    0.000    0.004    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      908    0.004    0.000    0.004    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:51(find_steering_vector)
       75    0.001    0.000    0.004    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:170(calculate_is_ball_close_to_borders)
       41    0.003    0.000    0.003    0.000 {built-in method nt.stat}
      636    0.003    0.000    0.003    0.000 {SimpleBlobDetector_create}
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
     2094    0.003    0.000    0.003    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:1231(__call__)
     6771    0.002    0.000    0.003    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:993(<genexpr>)
      203    0.003    0.000    0.003    0.000 {rectangle}
        6    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
     6771    0.002    0.000    0.002    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:994(<genexpr>)
     1250    0.002    0.000    0.002    0.000 {arcLength}
     8684    0.002    0.000    0.002    0.000 {built-in method numpy.asarray}
       78    0.000    0.000    0.002    0.000 C:\Program Files\Python311\Lib\json\__init__.py:183(dumps)
        4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1496(find_spec)
        4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.002    0.002 C:\Program Files\Python311\Lib\traceback.py:178(print_exc)
        1    0.000    0.000    0.002    0.002 C:\Program Files\Python311\Lib\traceback.py:111(print_exception)
     7878    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
       75    0.001    0.000    0.002    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\utils.py:4(angle_between_vectors)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       78    0.000    0.000    0.002    0.000 C:\Program Files\Python311\Lib\json\encoder.py:183(encode)
     5782    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     4432    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\VideoDebugger.py:37(close_videos)
        2    0.002    0.001    0.002    0.001 {method 'release' of 'cv2.VideoWriter' objects}
        1    0.000    0.000    0.002    0.002 C:\Program Files\Python311\Lib\locale.py:1(<module>)
     1982    0.002    0.000    0.002    0.000 {built-in method numpy.seterrobj}
     2728    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     2500    0.002    0.000    0.002    0.000 {built-in method time.time}
      203    0.001    0.000    0.002    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\shape_base.py:81(atleast_2d)
     7317    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     6436    0.002    0.000    0.002    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\linalg\linalg.py:2379(_norm_dispatcher)
      214    0.001    0.000    0.002    0.000 {method 'sort' of 'list' objects}
       75    0.002    0.000    0.002    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\utils.py:14(angle_between_vectors_signed)
       78    0.002    0.000    0.002    0.000 C:\Program Files\Python311\Lib\json\encoder.py:205(iterencode)
      203    0.002    0.000    0.002    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\videoOutput.py:18(update_data_dict)
     1061    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        8    0.001    0.000    0.001    0.000 {built-in method nt.mkdir}
      674    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      212    0.001    0.000    0.001    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:177(<listcomp>)
     2042    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\traceback.py:1013(print)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        3    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        8    0.000    0.000    0.001    0.000 <frozen genericpath>:16(exists)
     2039    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     3196    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\re\__init__.py:225(compile)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\re\__init__.py:272(_compile)
        3    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     2858    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2038    0.001    0.000    0.001    0.000 {method 'discard' of 'set' objects}
      866    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       22    0.001    0.000    0.001    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:134(find_closest_ball)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\re\_compiler.py:740(compile)
     2038    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      202    0.001    0.000    0.001    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:126(is_target_expired)
     3964    0.001    0.000    0.001    0.000 {built-in method numpy.geterrobj}
      568    0.001    0.000    0.001    0.000 {contourArea}
        1    0.001    0.001    0.001    0.001 C:\Program Files\Python311\Lib\socket.py:220(__init__)
        8    0.000    0.000    0.001    0.000 <frozen genericpath>:39(isdir)
     2050    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
       70    0.000    0.000    0.001    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\numeric.py:2378(array_equal)
       10    0.000    0.000    0.001    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:451(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\traceback.py:713(__init__)
       90    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\traceback.py:394(_extract_from_extended_frame_gen)
        1    0.000    0.000    0.001    0.001 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:292(disconnect)
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\re\_parser.py:979(parse)
       12    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\traceback.py:313(line)
      4/1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\re\_parser.py:456(_parse_sub)
      991    0.001    0.000    0.001    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\_ufunc_config.py:426(__init__)
        2    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\linecache.py:26(getline)
        2    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\linecache.py:36(getlines)
     1222    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\linecache.py:80(updatecache)
        5    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\traceback.py:912(format)
     2113    0.001    0.000    0.001    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\fromnumeric.py:2687(_max_dispatcher)
      4/1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\re\_parser.py:516(_parse)
      213    0.001    0.000    0.001    0.000 {boundingRect}
        1    0.000    0.000    0.001    0.001 C:\Program Files\Python311\Lib\signal.py:1(<module>)
     2113    0.001    0.000    0.001    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\fromnumeric.py:2831(_min_dispatcher)
       70    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\enum.py:893(_convert_)
        1    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\RobotInterface.py:42(disconnect)
      435    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\lib\function_base.py:3845(median)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\subprocess.py:1259(wait)
        1    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\lib\function_base.py:3763(_ureduce)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\subprocess.py:1580(_wait)
       70    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\_methods.py:61(_all)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\traceback.py:520(format)
      202    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\steering.py:284(start_belt)
      991    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\arrayprint.py:898(_none_or_positive_arg)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\traceback.py:455(format_frame_summary)
      994    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\multiarray.py:741(dot)
        1    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\lib\function_base.py:3931(_median)
      636    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:193(<lambda>)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\enum.py:1653(convert_class)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\re\_compiler.py:573(_code)
      844    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\fromnumeric.py:2172(_sum_dispatcher)
      278    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        8    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\socket.py:499(close)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\tokenize.py:392(open)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       10    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\analyse.py:454(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\socket.py:495(_real_close)
      609    0.000    0.000    0.000    0.000 C:\Users\tobia\Documents\School\4th Semester\CDIO\video_analysis\venv\Lib\site-packages\numpy\core\multiarray.py:153(concatenate)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x0000021E25396A20}
